timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Inicio de Sesion (ms),IdleTime,Connect,Agregar Registro (ms),Modificar registro (ms),Eliminar Registro (ms)
1,61076E+12,13,HTTP Request,200,OK,Thread Group 1-1,text,VERDADERO,,2810,117,1,1,http://192.168.1.66/,13,0,2,9,5,9
1,61076E+12,7,HTTP Request,200,OK,Thread Group 1-2,text,VERDADERO,,2810,117,1,1,http://192.168.1.66/,7,0,1,8,6,9
1,61076E+12,7,HTTP Request,200,OK,Thread Group 1-3,text,VERDADERO,,2810,117,1,1,http://192.168.1.66/,7,0,0,6,6,7
1,61076E+12,6,HTTP Request,200,OK,Thread Group 1-4,text,VERDADERO,,2810,117,1,1,http://192.168.1.66/,6,0,0,9,10,9
1,61076E+12,7,HTTP Request,200,OK,Thread Group 1-5,text,VERDADERO,,2810,117,1,1,http://192.168.1.66/,7,0,1,11,7,3
1,61076E+12,6,HTTP Request,200,OK,Thread Group 1-6,text,VERDADERO,,2810,117,1,1,http://192.168.1.66/,6,0,1,5,8,4
1,61076E+12,6,HTTP Request,200,OK,Thread Group 1-7,text,VERDADERO,,2810,117,1,1,http://192.168.1.66/,6,0,1,11,5,4
1,61076E+12,6,HTTP Request,200,OK,Thread Group 1-8,text,VERDADERO,,2810,117,1,1,http://192.168.1.66/,6,0,1,7,9,7
1,61076E+12,8,HTTP Request,200,OK,Thread Group 1-9,text,VERDADERO,,2810,117,1,1,http://192.168.1.66/,8,0,1,5,9,9
1,61076E+12,6,HTTP Request,200,OK,Thread Group 1-10,text,VERDADERO,,2810,117,1,1,http://192.168.1.66/,6,0,1,12,5,6
1,61076E+12,7,HTTP Request,200,OK,Thread Group 1-11,text,VERDADERO,,2810,117,1,1,http://192.168.1.66/,7,0,2,5,10,5
1,61076E+12,6,HTTP Request,200,OK,Thread Group 1-12,text,VERDADERO,,2810,117,1,1,http://192.168.1.66/,6,0,1,5,5,6
1,61076E+12,6,HTTP Request,200,OK,Thread Group 1-13,text,VERDADERO,,2810,117,1,1,http://192.168.1.66/,6,0,1,14,6,5
1,61076E+12,6,HTTP Request,200,OK,Thread Group 1-14,text,VERDADERO,,2810,117,1,1,http://192.168.1.66/,5,0,1,9,6,3
1,61076E+12,6,HTTP Request,200,OK,Thread Group 1-15,text,VERDADERO,,2810,117,1,1,http://192.168.1.66/,6,0,1,9,8,9
1,61076E+12,6,HTTP Request,200,OK,Thread Group 1-16,text,VERDADERO,,2810,117,1,1,http://192.168.1.66/,6,0,1,5,8,6
1,61076E+12,10,HTTP Request,200,OK,Thread Group 1-17,text,VERDADERO,,2810,117,1,1,http://192.168.1.66/,9,0,1,7,5,10
1,61076E+12,8,HTTP Request,200,OK,Thread Group 1-18,text,VERDADERO,,2810,117,1,1,http://192.168.1.66/,8,0,1,15,7,3
1,61076E+12,8,HTTP Request,200,OK,Thread Group 1-19,text,VERDADERO,,2810,117,1,1,http://192.168.1.66/,8,0,1,11,7,7
1,61076E+12,7,HTTP Request,200,OK,Thread Group 1-20,text,VERDADERO,,2810,117,1,1,http://192.168.1.66/,7,0,0,13,8,6
1,61076E+12,6,HTTP Request,200,OK,Thread Group 1-21,text,VERDADERO,,2810,117,1,1,http://192.168.1.66/,6,0,1,14,5,8
1,61076E+12,6,HTTP Request,200,OK,Thread Group 1-22,text,VERDADERO,,2810,117,1,1,http://192.168.1.66/,6,0,1,6,10,9
1,61076E+12,6,HTTP Request,200,OK,Thread Group 1-23,text,VERDADERO,,2810,117,1,1,http://192.168.1.66/,6,0,1,11,10,7
1,61076E+12,7,HTTP Request,200,OK,Thread Group 1-24,text,VERDADERO,,2810,117,1,1,http://192.168.1.66/,7,0,1,7,5,3
1,61076E+12,5,HTTP Request,200,OK,Thread Group 1-25,text,VERDADERO,,2810,117,1,1,http://192.168.1.66/,5,0,1,9,8,8
1,61076E+12,5,HTTP Request,200,OK,Thread Group 1-26,text,VERDADERO,,2810,117,1,1,http://192.168.1.66/,5,0,1,13,7,9
1,61076E+12,7,HTTP Request,200,OK,Thread Group 1-27,text,VERDADERO,,2810,117,1,1,http://192.168.1.66/,7,0,1,10,9,3
1,61076E+12,7,HTTP Request,200,OK,Thread Group 1-28,text,VERDADERO,,2810,117,1,1,http://192.168.1.66/,7,0,1,11,6,8
1,61076E+12,6,HTTP Request,200,OK,Thread Group 1-29,text,VERDADERO,,2810,117,1,1,http://192.168.1.66/,6,0,1,5,8,7
1,61076E+12,5,HTTP Request,200,OK,Thread Group 1-30,text,VERDADERO,,2810,117,1,1,http://192.168.1.66/,5,0,0,13,5,10
1,61076E+12,6,HTTP Request,200,OK,Thread Group 1-31,text,VERDADERO,,2810,117,1,1,http://192.168.1.66/,6,0,1,14,5,3
1,61076E+12,6,HTTP Request,200,OK,Thread Group 1-32,text,VERDADERO,,2810,117,1,1,http://192.168.1.66/,6,0,1,6,6,7
1,61076E+12,5,HTTP Request,200,OK,Thread Group 1-33,text,VERDADERO,,2810,117,1,1,http://192.168.1.66/,5,0,1,6,6,8
1,61076E+12,6,HTTP Request,200,OK,Thread Group 1-34,text,VERDADERO,,2810,117,1,1,http://192.168.1.66/,6,0,1,11,9,8
1,61076E+12,7,HTTP Request,200,OK,Thread Group 1-35,text,VERDADERO,,2810,117,1,1,http://192.168.1.66/,7,0,2,15,8,5
1,61076E+12,6,HTTP Request,200,OK,Thread Group 1-36,text,VERDADERO,,2810,117,1,1,http://192.168.1.66/,6,0,1,10,10,4
1,61076E+12,7,HTTP Request,200,OK,Thread Group 1-37,text,VERDADERO,,2810,117,1,1,http://192.168.1.66/,7,0,1,13,9,6
1,61076E+12,5,HTTP Request,200,OK,Thread Group 1-38,text,VERDADERO,,2810,117,1,1,http://192.168.1.66/,5,0,1,13,6,9
1,61076E+12,6,HTTP Request,200,OK,Thread Group 1-39,text,VERDADERO,,2810,117,1,1,http://192.168.1.66/,6,0,1,14,5,6
1,61076E+12,6,HTTP Request,200,OK,Thread Group 1-40,text,VERDADERO,,2810,117,1,1,http://192.168.1.66/,6,0,1,13,9,9
1,61076E+12,6,HTTP Request,200,OK,Thread Group 1-41,text,VERDADERO,,2810,117,1,1,http://192.168.1.66/,6,0,1,11,9,5
1,61076E+12,5,HTTP Request,200,OK,Thread Group 1-42,text,VERDADERO,,2810,117,1,1,http://192.168.1.66/,5,0,0,12,8,10
1,61076E+12,6,HTTP Request,200,OK,Thread Group 1-43,text,VERDADERO,,2810,117,1,1,http://192.168.1.66/,6,0,0,11,8,4
1,61076E+12,6,HTTP Request,200,OK,Thread Group 1-44,text,VERDADERO,,2810,117,1,1,http://192.168.1.66/,6,0,0,11,9,8
1,61076E+12,6,HTTP Request,200,OK,Thread Group 1-45,text,VERDADERO,,2810,117,1,1,http://192.168.1.66/,6,0,1,7,7,7
1,61076E+12,5,HTTP Request,200,OK,Thread Group 1-46,text,VERDADERO,,2810,117,1,1,http://192.168.1.66/,5,0,1,15,8,4
1,61076E+12,6,HTTP Request,200,OK,Thread Group 1-47,text,VERDADERO,,2810,117,1,1,http://192.168.1.66/,6,0,1,5,7,4
1,61076E+12,6,HTTP Request,200,OK,Thread Group 1-48,text,VERDADERO,,2810,117,1,1,http://192.168.1.66/,6,0,1,10,7,8
1,61076E+12,6,HTTP Request,200,OK,Thread Group 1-49,text,VERDADERO,,2810,117,1,1,http://192.168.1.66/,6,0,1,14,8,3
1,61076E+12,6,HTTP Request,200,OK,Thread Group 1-50,text,VERDADERO,,2810,117,1,1,http://192.168.1.66/,6,0,1,15,9,10
1,61076E+12,5,HTTP Request,200,OK,Thread Group 1-51,text,VERDADERO,,2810,117,1,1,http://192.168.1.66/,5,0,1,15,5,8
1,61076E+12,6,HTTP Request,200,OK,Thread Group 1-52,text,VERDADERO,,2810,117,1,1,http://192.168.1.66/,6,0,0,9,5,8
1,61076E+12,5,HTTP Request,200,OK,Thread Group 1-53,text,VERDADERO,,2810,117,1,1,http://192.168.1.66/,5,0,0,10,9,8
1,61076E+12,5,HTTP Request,200,OK,Thread Group 1-54,text,VERDADERO,,2810,117,1,1,http://192.168.1.66/,5,0,0,7,7,3
1,61076E+12,6,HTTP Request,200,OK,Thread Group 1-55,text,VERDADERO,,2810,117,1,1,http://192.168.1.66/,6,0,1,9,9,10
1,61076E+12,6,HTTP Request,200,OK,Thread Group 1-56,text,VERDADERO,,2810,117,1,1,http://192.168.1.66/,6,0,1,6,5,7
1,61076E+12,6,HTTP Request,200,OK,Thread Group 1-57,text,VERDADERO,,2810,117,1,1,http://192.168.1.66/,6,0,0,14,6,8
1,61076E+12,7,HTTP Request,200,OK,Thread Group 1-58,text,VERDADERO,,2810,117,1,1,http://192.168.1.66/,7,0,1,6,10,9
1,61076E+12,7,HTTP Request,200,OK,Thread Group 1-59,text,VERDADERO,,2810,117,1,1,http://192.168.1.66/,7,0,1,10,9,10
